LIBELLE_TOUTES_FORMES,LIBELLE_ORIGINAL
ABE,ABBAYE
AER,AERODROME
AERG,AEROGARE
AERP,AEROPORT
AGL,AGGLOMERATION
ALL,ALLEE
ALLS,ALLEES
ACH,ANCIEN CHEMIN
APL,ANCIENNE PLACE
ART,ANCIENNE ROUTE
ARTDEPARTEMENTALE,ANCIENNE ROUTE DEPARTEMENTALE
ARTNATIONALE,ANCIENNE ROUTE NATIONALE
AR,ANCIENNE RUE
ANV,ANCIENNE VOIE
ANGL,ANGLE
ARC,ARCADE
AUT,AUTOROUTE
AVE,AVENUE
AV,AVENUE
BAL,BALCON
BRE,BARRIERE
BCH,BAS CHEMIN
BSN,BASSIN
BSTD,BASTIDE
BER,BERGE
BCLE,BOUCLE
BD,BOULEVARD
BRG,BOURG
BRC,BRECHE
BRTL,BRETELLE
CALL,CALLE
CAMI,CAMIN
CGNE,CAMPAGNE
CPG,CAMPING
CAN,CANAL
CARR,CARRE
CAU,CARREAU
CAR,CARREFOUR
CAE,CARRIERA
CARE,CARRIERE
CASR,CASERNE
CST,CASTEL
CEIN,CEINTURE
CTRE,CENTRE
CCIAL,CENTRE COMMERCIAL
CCAL,CENTRE COMMERCIAL
CHL,CHALET
CHAMPS,CHAMP
CHPS,CHAMP
CHP,CHAMP
CHAP,CHAPELLE
CHI,CHARMILLE
CHA,CHASSE
CHT,CHATEAU
CHS,CHAUSSEE
CHE,CHEMIN
CC,CHEMIN COMMUNAL
CHEMDEX,CHEMIN D EXPLOITATION
CD,CHEMIN DEPARTEMENTAL
CF,CHEMIN FORESTIER
CHEMLAT,CHEMIN LATERAL
CR,CHEMIN RURAL
CHV,CHEMIN VICINAL
CHEM,CHEMINEMENT
CLS,CLOS
CTR,CONTOUR
CONTREALLEE,CONTRE ALLEE
COR,CORNICHE
CORO,CORON
COTT,COTTAGE
CLR,COULOIR
CRS,COURS
CIVE,COURSIVE
CRX,CROIX
DARS,DARSE
DEGRES,DEGRE
DEG,DEGRE
DSC,DESCENTE
DEVI,DEVIATION
DIG,DIGUE
DOM,DOMAINE
DRA,DRAILLE
ECA,ECART
ECL,ECLUSE
EGL,EGLISE
EMBR,EMBRANCHEMENT
EMP,EMPLACEMENT
ENV,ENCLAVE
ENC,ENCLOS
ESPA,ESPACE
ESP,ESPLANADE
ETNG,ETANG
FG,FAUBOURG
FBG,FAUBOURG
FRM,FERME
FD,FOND
FON,FONTAINE
FOR,FORET
FORM,FORUM
FOS,FOSSE
GAL,GALERIE
GBD,GRAND BOULEVARD
GRC,GRAND CLOS
GPL,GRAND PLACE
GRA,GRANDE ALLEE
GAV,GRANDE AVENUE
GR,GRANDE RUE
GREV,GREVE
GRI,GRILLE
GPE,GROUPE
GPT,GROUPEMENT
HAB,HABITATION
HLG,HALAGE
HLE,HALLE
HAM,HAMEAU
HCH,HAUT CHEMIN
HTR,HAUTEUR
HIP,HIPPODROME
HOT,HOTEL
ILO,ILOT
IMP,IMPASSE
JARD,JARDIN
JTE,JETEE
LEVE,LEVEE
LICE,LICES
LDT,LIEU DIT
LD,LIEU DIT
LIEUDIT,LIEU DIT
LIEUXDIT,LIEUX DIT
LIGN,LIGNE
LOT,LOTISSEMENT
MAIS,MAISON
MAR,MARCHE
MRN,MARINA
MTE,MONTEE
MNE,MORNE
MOUL,MOULIN
MLN,MOULIN
MUS,MUSEE
NTE,NOUVELLE ROUTE
PAL,PALAIS
PKG,PARKING
PRV,PARVIS
PAS,PASSAGE
PN,PASSAGE A NIVEAU
PASS,PASSE
PLE,PASSERELLE
PAT,PATIO
PCH,PETIT CHEMIN
PTSEN,PETIT SENTIER
PTA,PETITE ALLEE
PAE,PETITE AVENUE
PIM,PETITE IMPASSE
PRT,PETITE ROUTE
PR,PETITE RUE
PTR,PETITE RUE
PHAR,PHARE
PIST,PISTE
PLA,PLACA
PL,PLACE
PTTE,PLACETTE
PLCI,PLACIS
PLAG,PLAGE
PLN,PLAINE
PLT,PLATEAU
PNT,POINTE
PCHE,PORCHE
PTE,PORTE
PORQ,PORTIQUE
POST,POSTE
POT,POTERNE
PRQ,PRESQU ILE
PROM,PROMENADE
QU,QUAI
QRT,QUARTIER
QUA,QUARTIER
RAC,RACCOURCI
RAID,RAIDILLON
RPE,RAMPE
RNG,RANGEE
RVE,RAVINE
REM,REMPART
RES,RESIDENCE
ROC,ROCADE
RPT,ROND POINT
RDE,RONDE
RTD,ROTONDE
RTE,ROUTE
D ROUTE DEPARTEMENTALE,ROUTE DEPARTEMENTALE
RD,ROUTE DEPARTEMENTALE
DEPARTEMENTALE,ROUTE DEPARTEMENTALE
RTEFOR,ROUTE FORESTIERE
RN,ROUTE NATIONALE
NATIONALE,ROUTE NATIONALE
N ROUTE NATIONALE,ROUTE NATIONALE
R,RUE
RLE,RUELLE
RULT,RUELLETTE
RUET,RUETTE
RUIS,RUISSEAU
SEN,SENTIER
SQ,SQUARE
STDE,STADE
STA,STATION
TRN,TERRAIN
TSSE,TERRASSE
TER,TERRE
TPL,TERRE PLEIN
TRT,TERTRE
TRAB,TRABOULE
TRA,TRAVERSE
TUN,TUNNEL
VALL,VALLEE
VEN,VENELLE
VIAD,VIADUC
VTE,VIEILLE ROUTE
VR,VIEILLE RUE
VCHE,VIEUX CHEMIN
VLA,VILLA
VGE,VILLAGE
VLGE,VILLAGE
VLG,VILLAGE
VILLAG,VILLAGE
VIL,VILLE
VOI,VOIE
VC,VOIE COMMUNALE
VOIR,VOIRIE
VOUT,VOUTE
VOY,VOYEUL
ZUP,ZONE A URBANISER EN PRIORITE
ZAR,ZONE ARTISANALE
ZA,ZONE D ACTIVITES
PAEC,ZONE D ACTIVITES ECONOMIQUES
ZAE,ZONE D ACTIVITES ECONOMIQUES
ZAC,ZONE D AMENAGEMENT CONCERTE
ZAD,ZONE D AMENAGEMENT DIFFERE
ZI,ZONE INDUSTRIELLE
