nom_voie,id_type_voie,nom_voie_norm,complement_adresse,Unnamed: 5
Saint-Angheau,,saintangheau,,
Ruedel’Eglise,rue,deleglise,,
ChemindelaPotardière,chemin,delapotardiere,,
RueEdouardBranly,rue,edouardbranly,,
RoutedeBréville,route,debreville,,
impassedesrenards,impasse,desrenards,,
RueVerte,rue,verte,,
AlleeduGamay,allee,dugamay,,
Ruedel’Europe,rue,deleurope,,
laChalenie,,lachalenie,,
RuedeMetz,rue,demetz,,
RueduFond,rue,dufond,,
RuedesMouettes,rue,desmouettes,,
RoutedelaCollonge,route,delacollonge,,
RueduPontet,rue,dupontet,,
RuedelaGuillottiere,rue,delaguillottiere,,
RuedesPrés,rue,despres,,
AvenueEdouardCapdeville,avenue,edouardcapdeville,,
AvenueCharlesBoutet,avenue,charlesboutet,,
AlléedesCoronilles,allee,descoronilles,,
RueCapdeLaine,rue,capdelaine,,
RuedeBretagne,rue,debretagne,,
RueAlfredLasson,rue,alfredlasson,,
RoutedelaGrandeSègue,route,delagrandesegue,,
LesFargues,,lesfargues,,
RuedesMaraîchers,rue,desmaraichers,,
rueGarnierPagès,rue,garnierpages,,
RueduPèreGoriot,rue,duperegoriot,,
ChemindesFontanelles,chemin,desfontanelles,,
RouteduBéarn,route,dubearn,,
RuedelaCaravelle,rue,delacaravelle,,
RuedelaColombe,rue,delacolombe,,
RueJeanBouin,rue,jeanbouin,,
RueBossuet,rue,bossuet,,
BoulevardCharlesFloquet,boulevard,charlesfloquet,,
RueduHaut,rue,duhaut,,
ImpasseMadère,impasse,madere,,
laMinotais,,laminotais,,
RueGeorgesCadoudal,rue,georgescadoudal,,
RoutedeCoutances,route,decoutances,,
AvenuedesFresnaux,avenue,desfresnaux,,
RueJosephRouget,rue,josephrouget,,
LaJouetterie(Chanzeaux),,lajouetteriechanzeaux,,
RuedesEtannets,rue,desetannets,,
ChemindelaFontaineSaint-Julien,chemin,delafontainesaintjulien,,
RuelledesMirobolans,ruelle,desmirobolans,,
RuedesColombes,rue,descolombes,,
LotissementlesPougettes,lotissement,lespougettes,,
RueduHoublon,rue,duhoublon,,
RueDidierDaurat,rue,didierdaurat,,
RueGrandChemin,rue,grandchemin,,
RuedesEcoles,rue,desecoles,,
RueParrot,rue,parrot,,
RuedesNarcisses,rue,desnarcisses,,
LePetitTremble,,lepetittremble,,
RuedelaCroixdelaMare,rue,delacroixdelamare,,
ChemindesPetitesLandes,chemin,despetiteslandes,,
RuedesPres,rue,despres,,
RuedeGiroussens,rue,degiroussens,,
RuePlanchepaleuil,rue,planchepaleuil,,
RueJeanMoulin,rue,jeanmoulin,,
RoutedesBûcherons,route,desbucherons,,
RueLouisHennequin,rue,louishennequin,,
AvenueMozart,avenue,mozart,,
RuePoirierFeugere,rue,poirierfeugere,,
RuedelaMer,rue,delamer,,
RueduMaravenne,rue,dumaravenne,,
RueduTemple,rue,dutemple,,
RoutedeMirande,route,demirande,,
AlléeduMerle,allee,dumerle,,
RuePavée,rue,pavee,,
CheminGauthier,chemin,gauthier,,
RueNereeBoubee,rue,nereeboubee,,
RouteduPendut,route,dupendut,,
RueSaintMartin,rue,saintmartin,,
ChemindesPlaines,chemin,desplaines,,
RueSimonedeBeauvoir,rue,simonedebeauvoir,,
Routedel’Etang,route,deletang,,
RuePierreClugnet,rue,pierreclugnet,,
RueVictorHugo,rue,victorhugo,,
laBeuverie,,labeuverie,,
SquareMarcelDouillard,square,marceldouillard,,
RueGustaveDelory,rue,gustavedelory,,
ImpasseduGrenier,impasse,dugrenier,,
ChemindesDolmens,chemin,desdolmens,,
BoulevarddesRavalières,boulevard,desravalieres,,
RuePasteur,rue,pasteur,,
RoutedeParigneLePolin,route,deparignelepolin,,
CheminduRoy,chemin,duroy,,
TraverseSaintJoseph,traverse,saintjoseph,,
RueduClocher,rue,duclocher,,
l'Épinette,,lepinette,,
RuedelaGrandeTraverse,rue,delagrandetraverse,,
RuePierreBeregovoy,rue,pierreberegovoy,,
RuedelaRenteauxLoups,rue,delarenteauxloups,,
CourdesVallées,cour,desvallees,,
AvenueDenfertRochereau,avenue,denfertrochereau,,
RoutedeBretagne,route,debretagne,,
ChemindesCantarelles,chemin,descantarelles,,
Routedepouresse,route,depouresse,,
RueBasse,rue,basse,,
RuedeNogent-le-roi,rue,denogentleroi,,
ChemindelaMénagerie,chemin,delamenagerie,,
Rued'Orléans,rue,dorleans,,
RuedelaNoue,rue,delanoue,,
RuedelaLibération,rue,delaliberation,,
routeduvert,route,duvert,,
RoutedeGauré,route,degaure,,
RoutedeCancastel,route,decancastel,,
ImpasseduMaupas,impasse,dumaupas,,
LesArtsd'enBAs,,lesartsdenbas,,
Ruedel’AncienneAbbaye,rue,delancienneabbaye,,
RueMozart,rue,mozart,,
BoulevarddeCauvigny,boulevard,decauvigny,,
RueduProfesseurCalmette,rue,duprofesseurcalmette,,
ImpasseMangoustan,impasse,mangoustan,,
PlacePauCasals,place,paucasals,,
PlacedesTilleuls,place,destilleuls,,
RuedelaPastourelle,rue,delapastourelle,,
Avenued’Arromanches,avenue,darromanches,,
Routedesvoirons,route,desvoirons,,
ImpassedesOeillets,impasse,desoeillets,,
RuedesChaumieres,rue,deschaumieres,,
RuedeFretin,rue,defretin,,
ImpasseduLevant,impasse,dulevant,,
RuedesCoquelicots,rue,descoquelicots,,
AvenuedesPyrénées,avenue,despyrenees,,
PlaceArnaultBeltrame,place,arnaultbeltrame,,
RueAdamFumée,rue,adamfumee,,
lesHautsdeCagnan,,leshautsdecagnan,,
RuedelaFontaineMadeleine,rue,delafontainemadeleine,,
RuedesNoyers,rue,desnoyers,,
RoutedeSabres,route,desabres,,
RuePointin,rue,pointin,,
RuePierreCurie,rue,pierrecurie,,
Stradadichjuni,,stradadichjuni,,
AvenueduBoisd'Amour,avenue,duboisdamour,,
routedel'Argoat,route,delargoat,,
RueduChâteau,rue,duchateau,,
AvenuedesDeuxPonts,avenue,desdeuxponts,,
RueduHamel,rue,duhamel,,
RueduChêne,rue,duchene,,
AlléedesGenêts,allee,desgenets,,
Campet,,campet,,
Routedesusses,route,desusses,,
RuedelaPetiteVigne,rue,delapetitevigne,,
Citedel’Etoile,cite,deletoile,,
AlléedesPaquerettes,allee,despaquerettes,,
ChemindeBarray,chemin,debarray,,
MontéedesFossés,montee,desfosses,,
ImpasseduLoup,impasse,duloup,,
Rued'Hermies,rue,dhermies,,
ImpassedesFrênes,impasse,desfrenes,,
AvenueduSirocco,avenue,dusirocco,,
RueduCôteau,rue,ducoteau,,
ChemindesChasseurs,chemin,deschasseurs,,
RuedesChantiers,rue,deschantiers,,
RuedeSaulx,rue,desaulx,,
RuedelaFosse,rue,delafosse,,
ChemindeClermont,chemin,declermont,,
LePortail,,leportail,,
CheminduBief,chemin,dubief,,
RueJacquesBrel,rue,jacquesbrel,,
RueCamilleDesmoulins,rue,camilledesmoulins,,
AlléedesAcacias,allee,desacacias,,
ContourdeBuqueux,contour,debuqueux,,
ChemindesMeuniers,chemin,desmeuniers,,
RoutedeMons,route,demons,,
RouteJean-BaptistedeBaudre,route,jeanbaptistedebaudre,,
RuePrincipale,rue,principale,,
RuedelaRosièred'Artois,rue,delarosieredartois,,
RuedesGrandesVignes,rue,desgrandesvignes,,
FaubourgduPontMousse,faubourg,dupontmousse,,
RueduGénéralLeclerc,rue,dugeneralleclerc,,
RueFrancisStéphant,rue,francisstephant,,
ChemindelaRoquetteMft,chemin,delaroquettemft,,
RuedesOurmets,rue,desourmets,,
AvenuedesVolcans,avenue,desvolcans,,
ChemindeBellevue,chemin,debellevue,,
lesbaux,,lesbaux,,
RouteRobertSurcouf,route,robertsurcouf,,
RueGeorgesOutrebon,rue,georgesoutrebon,,
RueCharlesDemuynck,rue,charlesdemuynck,,
RoutedeSaint-Martin-de-Bienfaite,route,desaintmartindebienfaite,,
RoutedeGuerrin,route,deguerrin,,
CheminementdelaChaumeChampierre,cheminement,delachaumechampierre,,
ChemindelaRochette,chemin,delarochette,,
Alléedu8Mai1945,allee,du8mai1945,,
CheminBahunenea,chemin,bahunenea,,
RuedelaGarenne,rue,delagarenne,,
ImpasseLily,impasse,lily,,
AvenueMariusBriant,avenue,mariusbriant,,
BdClementetJulesBarthelemy,boulevard,clementetjulesbarthelemy,,
RouteduPontd’Ercus,route,dupontdercus,,
