nom_voie,id_type_voie,nom_voie_norm,complement_adresse
Les Bains,,les bains,
Rue de Saacy,rue,de saacy,
Chemin de Plein vent,chemin,de plein vent,
Rue Jeanne d'Arc,rue,jeanne d arc,
Route de Bel Air,route,de bel air,
Rue Louis Neuts,rue,louis neuts,
Avenue de la Gare,avenue,de la gare,
Avenue d'Arnaudot,avenue,d arnaudot,
Rue Jean Paul Marat,rue,jean paul marat,
Rue des Perrières,rue,des perrieres,
Rue de l'Hôtel de Bretagne,rue,de l hotel de bretagne,
Rue de la Maladrerie,rue,de la maladrerie,
Place de la Mairie,place,de la mairie,
les Naudières,,les naudieres,
Rue Camille Pelletan,rue,camille pelletan,
Rue de l'Argelette,rue,de l argelette,
Rue du Mouillet,rue,du mouillet,
Rue de la Violette,rue,de la violette,
Rue Vésale,rue,vesale,
Rue Michelet,rue,michelet,
Rue des Greves,rue,des greves,
Rue Condorcet,rue,condorcet,
chemin de la vosselle,chemin,de la vosselle,
avenue saint-jacques de compostelle,avenue,saint jacques de compostelle,
Résidence Sainte-Croix,residence,sainte croix,
allée de l'Aber Benoit,allee,de l aber benoit,
Chemin Lory Lebreton,chemin,lory lebreton,
Route de la Giralde,route,de la giralde,
Route de Lapeyre,route,de lapeyre,
Rue Rouget de Lisle,rue,rouget de lisle,
Place de l'Hôtel de Ville,place,de l hotel de ville,
le Boussillon,,le boussillon,
Place du Champ de Mars,place,du champ de mars,
Rue du Moulin,rue,du moulin,
Sur la Briqueterie,,sur la briqueterie,
Avenue Jean Rostand,avenue,jean rostand,
Impasse Laurent,impasse,laurent,
Lotissement Freiresque,lotissement,freiresque,
Rue van gogh,rue,van gogh,
Résidence Tro Ar Hoat,residence,tro ar hoat,
Rue des Dames,rue,des dames,
Chemin des Masques,chemin,des masques,
Place  Emile Bossy,place,emile bossy,
Rue des Champions,rue,des champions,
Rue de Lorraine,rue,de lorraine,
Rue de Bourgerel,rue,de bourgerel,
Rue des Pêcheurs,rue,des pecheurs,
Allée de la Roseraie,allee,de la roseraie,
Rue Stephani Valentin,rue,stephani valentin,
Impasse créole,impasse,creole,
Route de Couture d'Argenson,route,de couture d argenson,
Rue Charrière de la Vignotte,rue,charriere de la vignotte,
Rue Principale Schirlenhof,rue,principale schirlenhof,
Route de Lavaur,route,de lavaur,
Rue du Véron,rue,du veron,
Rue du Docteur Juppé,rue,du docteur juppe,
Rue des Vikings,rue,des vikings,
Rue du Grand Jardin,rue,du grand jardin,
Aire de Rely,aire,de rely,
Rue des Kerhins,rue,des kerhins,
Rue de la Serve,rue,de la serve,
Chemin des Vertus,chemin,des vertus,
Lotissement Cassagnes,lotissement,cassagnes,
Allée des Cormorans,allee,des cormorans,
Rue du 11 Novembre 1918,rue,du 11 novembre 1918,
Rue Porte Barrière,rue,porte barriere,
Rue des Halles,rue,des halles,
Rue de Passemay,rue,de passemay,
Rue des Marlots,rue,des marlots,
Residence les Palombes,residence,les palombes,
Rue de l’Église Saint-Jean,rue,de l eglise saint jean,
Rue Marie Curie,rue,marie curie,
Lotissement le Clos Chambaran,lotissement,le clos chambaran,
Rue des morettons,rue,des morettons,
Residence 2e Pont,residence,2 e pont,
Square Rosa,square,rosa,
Route d’Aunay,route,d aunay,
Rue du Merle Blanc,rue,du merle blanc,
chemin de gouttasel,chemin,de gouttasel,
Rue du Ruisseau Blanc,rue,du ruisseau blanc,
Rue de la Saintonge,rue,de la saintonge,
La Vacaja,,la vacaja,
Chemin Paillette,chemin,paillette,
Stretta Di U Palazzu Tomasi,,stretta di u palazzu tomasi,
Rue Fernand Degrugillier,rue,fernand degrugillier,
rue des charmes,rue,des charmes,
Route des Cotes,route,des cotes,
impasse des Maréchaux,impasse,des marechaux,
Rue Gaston,rue,gaston,
Rue Driss Chraibi,rue,driss chraibi,
Chemin sous Vignoux,chemin,sous vignoux,
Rue du Roulier,rue,du roulier,
Chemin des Ruettes,chemin,des ruettes,
Route de la Croisette,route,de la croisette,
Rue Palestro,rue,palestro,
Route de Patris,route,de patris,
Rue Madeleine Brès,rue,madeleine bres,
Rue de la Baraquette,rue,de la baraquette,
Rue Jean Mermoz Abd,rue,jean mermoz abd,
Place de la Renaissance,place,de la renaissance,
Rue Paul-Emile Victor,rue,paul emile victor,
Route de la Varenne,route,de la varenne,
Rue Bonne Mouche,rue,bonne mouche,
Rue du Transloy,rue,du transloy,
Rue Joseph D 'Arbaud,rue,joseph d arbaud,
Rue de Fontenay,rue,de fontenay,
Fayelle,,fayelle,
Avenue de l'Architecte Louis Cordonnier,avenue,de l architecte louis cordonnier,
Allée des Dames,allee,des dames,
Rue de Villeneuve,rue,de villeneuve,
Rue des Flamboyants,rue,des flamboyants,
Rue Plante,rue,plante,
Lotissement Tomi,lotissement,tomi,
Rue Froissart,rue,froissart,
Residence Alexia,residence,alexia,
Chemin du Haut Beuveroux,chemin,du haut beuveroux,
Rue du Château d'eau,rue,du chateau d eau,
Résidence Bellevue,residence,bellevue,
Rue de Lisieux,rue,de lisieux,
Rue des Etangs,rue,des etangs,
Rue du Docteur Nick,rue,du docteur nick,
Rue de la Galicherie,rue,de la galicherie,
Rue du Moutier,rue,du moutier,
Rue du Vieux Moulin,rue,du vieux moulin,
Rue Louis Bougard,rue,louis bougard,
Rue De Mamoine,rue,de mamoine,
Rue des Gautheys,rue,des gautheys,
Rue des Mesanges,rue,des mesanges,
Rue Saint Jean Baptiste,rue,saint jean baptiste,
Rue de la Poterie,rue,de la poterie,
Rue des Chambons,rue,des chambons,
rue du Clos Augier,rue,du clos augier,
Avenue de Limoux,avenue,de limoux,
Faubourg Sainte Berthe,faubourg,sainte berthe,
le patis,,le patis,
Allée du Côteau d’Anse,allee,du coteau d anse,
Route de Cherbonnières,route,de cherbonnieres,
Allée du Chemin de Fer,allee,du chemin de fer,
Route de Lentin,route,de lentin,
Chemin de Beleyme,chemin,de beleyme,
Chemin du Village,chemin,du village,
rue du Menhir,rue,du menhir,
Rue de la Croix Saint-Vincent,rue,de la croix saint vincent,
Avenue de Strasbourg,avenue,de strasbourg,
Allee des Grands Jardins,allee,des grands jardins,
Avenue Marcel Doret,avenue,marcel doret,
rue du Kreisker,rue,du kreisker,
Rue de la Croix Amisse,rue,de la croix amisse,
Rue des Gageres,rue,des gageres,
Rue du Moulin de Brisson,rue,du moulin de brisson,
Rue de l'Abbaye,rue,de l abbaye,
Rue des beuruans,rue,des beuruans,
Avenue René de Moulins de Rochefort,avenue,rene de moulins de rochefort,
Residence Tropicana,residence,tropicana,
Boulevard Charles Louis Philippe,boulevard,charles louis philippe,
chemin desbrosse la vallée,chemin,desbrosse la vallee,
Chemin de la Touchette,chemin,de la touchette,
Boulevard Joseph Wamytan,boulevard,joseph wamytan,
Cite de Lasberdesques,cite,de lasberdesques,
Chemin des Carboyeres,chemin,des carboyeres,
Impasse Montpertuis,impasse,montpertuis,
Rue du Hainaut,rue,du hainaut,
hameau des Hautes Roches,hameau,des hautes roches,
Montée du Château d’Eau,montee,du chateau d eau,
Rue des Plantiers,rue,des plantiers,
Chemin de la Fontaine Fortin,chemin,de la fontaine fortin,
