nom_voie,id_type_voie,nom_voie_norm,complement_adresse
Impasse Reant Rue Jean Jaurés,rue,jean jaures,impasse reant
Cd 34 Rte de la Crau,route,de la crau,cd 34
Route de la Mairie - Hameau de Cazaux Frechet,route,de la mairie,hameau de cazaux frechet
Impasse 17 Rue de Boutteville,rue,de boutteville,impasse 17
Impasse 34 Rue Deslandes,rue,deslandes,impasse 34
Résidence du Tibet Rue Dutouquet,rue,dutouquet,residence du tibet
"Rue Roger Laur, Résidence Les Ateliers",rue,roger laur,residence les ateliers
Résidence du Bocage Rue Pasteur,rue,pasteur,residence du bocage
423 Route de Pie Lombard,route,de pie lombard,423
Rue Fabre d’Eglantine - Lotissement Moulin à Vent,rue,fabre d eglantine,lotissement moulin a vent
chemin des moulieres a la croix de palun (vc 209),chemin,des moulieres a la croix de palun,vc 209
Allée des Aulnes - Lotissement les Aulnes,allee,des aulnes,lotissement les aulnes
chemin des roses (vc 110),chemin,des roses,vc 110
Rue Proudhon Impasse Brouillard,rue,proudhon,impasse brouillard
Rue de Trun - Allée B,rue,de trun,allee b
chemin de chateaubanne (vc 120),chemin,de chateaubanne,vc 120
Domaine O Deguise Rue G Bankaert,rue,g bankaert,domaine o deguise
Route de l' Ancien Cordonnier - Hameau de Vabre,route,de l ancien cordonnier,hameau de vabre
Impasse N 4 Rue Emile Jamais,rue,emile jamais,impasse n 4
Impasse N 2 Rue Docteur Anthoine,rue,docteur anthoine,impasse n 2
Route de Nouvion le Comte Résidence la Sucrerie,route,de nouvion le comte,residence la sucrerie
Rue Brulée - Ham de Monneaux,rue,brulee,ham de monneaux
Chemin des Vignes Vc N 10,chemin,des vignes,vc n 10
Impasse les Bouleaux Rue d'Asseven,rue,d asseven,impasse les bouleaux
Lotissement Spring Quartier d'Orleans,lotissement,spring,quartier d orleans
Résidence Ulysse Village Naturiste,residence,ulysse,village naturiste
Route de Sauvigny - Hameau de Traveron,route,de sauvigny,hameau de traveron
