nom_voie,id_type_voie,nom_voie_norm,complement_adresse
RUE DES PEUPLIERS,rue,des peupliers,
RUE PIERRE MAC ORLAN,rue,pierre mac orlan,
RUE DES ECOURTILS,rue,des ecourtils,
RUE DES CERISIERS,rue,des cerisiers,
RUE EMMANUEL ROY,rue,emmanuel roy,
RUE DES PYRENEES,rue,des pyrenees,
RUE DES FOULERIES,rue,des fouleries,
LARZAT,,larzat,
PL  NOTRE DAME,place,notre dame,
AV  DE CHAMPAGNE,avenue,de champagne,
RUE DE LA COLONIE,rue,de la colonie,
LE HAUT PIROY,,le haut piroy,
RUE LA HAUT,rue,la haut,
AV  DU BOIS COUCHANT,avenue,du bois couchant,
LA GUIRTELLE D EN HAUT,,la guirtelle d en haut,
RTE DES TANNIS,route,des tannis,
MAILLERONFAING,,mailleronfaing,
RUE DU CHAPEAU ROUGE,rue,du chapeau rouge,
RUE PEYDAVANT,rue,peydavant,
RTE DE CAUBOUE,route,de cauboue,
CITE LA CONTE AUVERGNE,cite,la conte auvergne,
IMP CHARNING CHARP,impasse,charning charp,
VAUGERMAIN,,vaugermain,
RUE DES SOURCES,rue,des sources,
RUE DU CHEMIN VERT,rue,du chemin vert,
RUE DES ROCHETTES,rue,des rochettes,
LA BOURSIDIERE,,la boursidiere,
RUE HOFER,rue,hofer,
RUE DE MOSCOU,rue,de moscou,
RUE DE BAERENDORF,rue,de baerendorf,
RUE ALBERT EINSTEIN,rue,albert einstein,
ALL PAUL ELUARD,allee,paul eluard,
RUE DE DOYAT,rue,de doyat,
CRS DES CLAPIERS N 102,cours,des clapiers n 102,
RUE DE PARIS,rue,de paris,
AV  AUGUSTE WISSEL,avenue,auguste wissel,
RUE BEL AIR,rue,bel air,
AV  FOCH,avenue,foch,
RUE LABORIE 2,rue,laborie 2,
RUE LAMARTINE,rue,lamartine,
AV  DE LA MARNE,avenue,de la marne,
RUE ROGER SALENGRO,rue,roger salengro,
BD  HENRI DUNANT,boulevard,henri dunant,
PARK GEOT,,park geot,
RUE DE LA HARPE,rue,de la harpe,
CHE DU CHATEAU,chemin,du chateau,
AV  DE LA REPUBLIQUE,avenue,de la republique,
RUE CHAMPS ELYSEES,rue,champs elysees,
BD  DE JUILLET,boulevard,de juillet,
RES JEAN MONNET,residence,jean monnet,
RUE DES CHAMPS,rue,des champs,
CHE DU LAVOIR,chemin,du lavoir,
FORCONE,,forcone,
SQ  DU SANCERROIS,square,du sancerrois,
CHE DE LA RIZE,chemin,de la rize,
RUE CHARLES PONCY,rue,charles poncy,
RTE DE SAUJON,route,de saujon,
AV  DE L ARMORIAL,avenue,de l armorial,
AV  DE BEARN,avenue,de bearn,
AV  MALHERBE,avenue,malherbe,
RUE ST DOMINIQUE,rue,saint dominique,
RPT DES MYOSOTIS,rond point,des myosotis,
CHEZ BARDOT,,chez bardot,
RUE D ISSY,rue,d issy,
BD  DU VAL DE CHEZINE,boulevard,du val de chezine,
CHE DE LA BAOU,chemin,de la baou,
PRES DE FLAINE,,pres de flaine,
RUE GABRIEL GUILLON,rue,gabriel guillon,
RUE AGLOPHILE FRADIN,rue,aglophile fradin,
RUE MAR DE LATTRE DE TASSIGNY,rue,mar de lattre de tassigny,
RUE DE VOISINS,rue,de voisins,
RUE DE LIGUEIL,rue,de ligueil,
LA CULASSE,,la culasse,
RUE LAENNEC,rue,laennec,
RUE JULES FAVRE,rue,jules favre,
RUE DU VAL ST QUENTIN,rue,du val saint quentin,
RUE DU BOURIFFLE,rue,du bouriffle,
RUE HENRI GUY,rue,henri guy,
RUE CLAUDE MONET,rue,claude monet,
LA TABARDIERE,,la tabardiere,
RUE DE KERFRIANT,rue,de kerfriant,
PL  LOUIS DE HERCE,place,louis de herce,
RUE DES BOUCHERS,rue,des bouchers,
RUE YLANG,rue,ylang,
RUE DU COLONEL TOUSSAINT,rue,du colonel toussaint,
ALL DES MEUNIERS,allee,des meuniers,
IMP DU BOIS DES ROCHIRES,impasse,du bois des rochires,
LOT LES CORDRIES SUD,lotissement,les cordries sud,
RUE LECUYER,rue,lecuyer,
RUE DE PHILIPPEVILLE,rue,de philippeville,
BAUDRY,,baudry,
RUE DU GEN DE GAULLE,rue,du general de gaulle,
RUE JULES FERRY,rue,jules ferry,
PAS DE CHAMPAGNE,passage,de champagne,
RUE DU CHANOINE BRACHOTTE,rue,du chanoine brachotte,
RUE LEPRINCE,rue,leprince,
RUE DES COQUELICOTS,rue,des coquelicots,
RES PEYREGOURDE,residence,peyregourde,
PL  DE L'ANCIEN CAFE,place,de l ancien cafe,
RUE DES PRAIRIES,rue,des prairies,
RUE DU COBLET,rue,du coblet,
RUE DE LA SCIERIE,rue,de la scierie,
RUE DE LA CHAMBONNE,rue,de la chambonne,
MAIL DU PASTEL,mail,du pastel,
ZAC DE LA GRENETTE,zone d amenagement concerte,de la grenette,
RUE DE LA PLACE,rue,de la place,
RUE DU DOCTEUR SCHWEITZER,rue,du docteur schweitzer,
RUE SAUNERIE,rue,saunerie,
CHE DE CROIX MESNIL,chemin,de croix mesnil,
NEUVILLE,,neuville,
RUE DE RONCHALON,rue,de ronchalon,
RUE CHARLES PEGUY,rue,charles peguy,
RUE PERRIN SOLLIERS,rue,perrin solliers,
RUE JEAN DES BARRES,rue,jean des barres,
LA GROSSE PIERRE,,la grosse pierre,
RUE PIERRE LAPLACE,rue,pierre laplace,
CHE DES VIGNES,chemin,des vignes,
L USINE,,l usine,
PL  JEAN BAPTISTE CORNET,place,jean baptiste cornet,
PL  JEANNE D ARC,place,jeanne d arc,
RUE SAINT JEAN,rue,saint jean,
MEN GOUT CHO,,men gout cho,
RUE EUDES DE DEUIL,rue,eudes de deuil,
RUE DE NAUGIGOUTTE,rue,de naugigoutte,
RUE VERTE,rue,verte,
RUE FRANCIS GARNIER,rue,francis garnier,
CHE DE L OBELISQUE,chemin,de l obelisque,
RUE BOUDARD,rue,boudard,
RUE DE PICPUS,rue,de picpus,
IMP DU FORIOU,impasse,du foriou,
HLM CHARLES ROUGNY,hlm,charles rougny,
RUE JEAN AGNESE,rue,jean agnese,
AV  PROFESSEUR THIROLOIX,avenue,professeur thiroloix,
CHE DE RABIAC ESTAGNOL,chemin,de rabiac estagnol,
RUE GENERAL DE GAULLE,rue,general de gaulle,
ALL LES MINEURS,allee,les mineurs,
RUE DU FOUR BANAL,rue,du four banal,
RUE DE GORGES,rue,de gorges,
RUE DU PONT-BADEAU,rue,du pont badeau,
RUE GAILLARD,rue,gaillard,
RUE DESIRE CLEMENT,rue,desire clement,
RUE BERGERETTE - ST-HILAIRE,rue,bergerette saint hilaire,
RTE DES ILES,route,des iles,
QUAI ALEXANDRE DUMAS,quai,alexandre dumas,
RUE DE LA BUTTE,rue,de la butte,
RUE VICTOR HUGO,rue,victor hugo,
RTE DE LA ROQUETTE,route,de la roquette,
AV  THIERS,avenue,thiers,
L'OUVIERE,,l ouviere,
RUE DU MARECHAL GALLIENI,rue,du marechal gallieni,
RUE ABELARD,rue,abelard,
BD  DEGANNE,boulevard,deganne,
PORSISQUIN,,porsisquin,
RUE DE LA FRAIRIE,rue,de la frairie,
RUE JEAN BARDY,rue,jean bardy,
RUE DES OISEAUX,rue,des oiseaux,
LES BOULES,,les boules,
VALEILLE,,valeille,
AV  MAC MAHON,avenue,mac mahon,
RUE ERNEST MARCHAL,rue,ernest marchal,
RTE DE NICE,route,de nice,
RTE DE BESNE SAINT ROCH,route,de besne saint roch,
RUE JULES GUESDE,rue,jules guesde,
RUE PHARAON,rue,pharaon,
IMP FRANCOIS RABELAIS,impasse,francois rabelais,
RTE DU PIED DE LA COTE,route,du pied de la cote,
AV  DE LA LIBERATION,avenue,de la liberation,
RUE PAUL REGNAULT,rue,paul regnault,
RUE ANC COMBATTANTS AFN ET TOM,rue,anc combattants afn et tom,
AV  MONT JOLI,avenue,mont joli,
PL  DE LA VICTOIRE,place,de la victoire,
CHE DES JAILLIERES,chemin,des jaillieres,
STAGNONE,,stagnone,
RES MARGUERITE DE VALOIS,residence,marguerite de valois,
RUE EMILE QUENOT,rue,emile quenot,
RUE DES ALLIERES,rue,des allieres,
RUE DE TESSON,rue,de tesson,
ALL DE GASCOGNE,allee,de gascogne,
RUE STEPHENSON,rue,stephenson,
AV  HENRI DUCOUDRAY,avenue,henri ducoudray,
RUE DU PARC DE VILLARD,rue,du parc de villard,
RTE DE BELLEY,route,de belley,
RUE DES MURLINS,rue,des murlins,
CALA DI SOLE,,cala di sole,
CHE DES MOULINS VC 7,chemin,des moulins,vc 7
RUE DES MAURES,rue,des maures,
RUE DE L INTERDITE,rue,de l interdite,
LA VEDRENNE,,la vedrenne,
RUE CASTAGNARY,rue,castagnary,
RTE DES USSEAUX,route,des usseaux,
LES PAPETERIES,,les papeteries,
RUE HUGUES LE GRAND,rue,hugues le grand,
RUE JACQUES COITTIER,rue,jacques coittier,
RUE DE LA MORANDIERE,rue,de la morandiere,
L ESCAILLON,,l escaillon,
RUE HENRI RUSSEL,rue,henri russel,
CHEZ DIJONNEAU,,chez dijonneau,
RUISSEAU CAILLOUX,ruisseau,cailloux,
RUE CAVOUR,rue,cavour,
RUE NATIONALE,rue,nationale,
RUE PASTEUR,rue,pasteur,
RUE DE LA RIVIERE,rue,de la riviere,
RUE NICOLAS POUSSIN,rue,nicolas poussin,
RUE E LESAFFRE,rue,e lesaffre,
CHE DE TAURET,chemin,de tauret,
RUE DES CHAUMES,rue,des chaumes,
RES MARGUERITE,residence,marguerite,
RUE DU PLATEAU,rue,du plateau,
RUE ALBERT CAMUS,rue,albert camus,
RES MASSENET,residence,massenet,
AV  DU PERE SOULAS,avenue,du pere soulas,
RUE DU BOIS BERLETTE,rue,du bois berlette,
RAMBAUD,,rambaud,
LA GRAND BASTIDE,,la grand bastide,
RUE FEBURON - ST-HILAIRE,rue,feburon saint hilaire,
RUE DES ABELIAS,rue,des abelias,
RUE DES ROSEAUX,rue,des roseaux,
RUE DU GENERAL DE GAULLE,rue,du general de gaulle,
RUE DE LA GRANGE BOURDON,rue,de la grange bourdon,
RTE DE TANNERON,route,de tanneron,
RTE DE VEYNES,route,de veynes,
RUE JEAN JAURES,rue,jean jaures,
RUE MEURISSE,rue,meurisse,
RUE DU CHERCHE MIDI,rue,du cherche midi,
RUE DU FOUR,rue,du four,
RUE REY,rue,rey,
AV  BUSTEAU,avenue,busteau,
RUE DE BILLANCOURT,rue,de billancourt,
RUE NARCISSE HOUQUE,rue,narcisse houque,
CHEM DU RUISSEAU DE MENICHOT,cheminement,du ruisseau de menichot,
RUE FELIX LANGLAIS,rue,felix langlais,
RTE DE L'YVRANDE - VIREY,route,de l yvrande virey,
RUE GEORGETTE DUPOUY,rue,georgette dupouy,
CHE DES MESANGES,chemin,des mesanges,
RUE GRAGONNE,rue,gragonne,
RTE DE MONTGALVY LA VAYSSE,route,de montgalvy la vaysse,
AV  AUBERT,avenue,aubert,
NOUGUEIRET,,nougueiret,
IMP PONCILLON,impasse,poncillon,
AV  DU CHATER,avenue,du chater,
PL  PHILOMENE PIQUET,place,philomene piquet,
CHE DE LA CARDONNARIE,chemin,de la cardonnarie,
RTE DE LA HOUNA,route,de la houna,
RUE JEANNIN,rue,jeannin,
RUE DE LA CRX DU BOIS MASSON,rue,de la crx du bois masson,
RUE DES VERGERS,rue,des vergers,
RUE DU PARC,rue,du parc,
RTE DES NOES,route,des noes,
RUE DE SIERCK,rue,de sierck,
RES LES GRES,residence,les gres,
RES CHANOINE BLOUET - MORTAIN,residence,chanoine blouet mortain,
RUE JULES MANSART,rue,jules mansart,
RUE COLBERT,rue,colbert,
RUE DU TOUNET,rue,du tounet,
CRS DESBIEY,cours,desbiey,
IMP DE L'ECOLE,impasse,de l ecole,
RUE ANNE CASENEUVE,rue,anne caseneuve,
BD  GENERAL LOUIS DELFINO,boulevard,general louis delfino,
RUE DE GUMBRECHTSHOFFEN,rue,de gumbrechtshoffen,
RTE DES PIGEONNIERS,route,des pigeonniers,
LE BARBUT,,le barbut,
RUE JEAN MIHE,rue,jean mihe,
LOT DOMAINE DE MIGRON,lotissement,domaine de migron,
RUE BEAUMARCHAIS,rue,beaumarchais,
PL  DE VERDUN,place,de verdun,
RUE GOSSEC,rue,gossec,
RUE BOHY FRERES,rue,bohy freres,
RUE DE VAUGIRARD,rue,de vaugirard,
RUE DE MERVILLE,rue,de merville,
RUE DE LA FOSSE ACCART,rue,de la fosse accart,
RUE DE MONTREUIL,rue,de montreuil,
RUE EMILE GEORGET,rue,emile georget,
AV  DE SAURES,avenue,de saures,
CHANTEGRELIERE,,chantegreliere,
RUE LOUIS LOUCHEUR,rue,louis loucheur,
AV  PAUL VERLAINE,avenue,paul verlaine,
RUE DU GENERAL GALLIENI,rue,du general gallieni,
BD  LESCURE,boulevard,lescure,
LE PEUX,,le peux,
BD  VICTOR HUGO,boulevard,victor hugo,
RUE YVES GILOUX,rue,yves giloux,
RUE DE LA POSTE,rue,de la poste,
IMP DE L ETRIER,impasse,de l etrier,
CHE DE LA PERAUDERIE,chemin,de la perauderie,
RUE DESAIX,rue,desaix,
RUE DU VILLAGE,rue,du village,
PL  DE LA TUILERIE,place,de la tuilerie,
RUE GABRIEL PERI,rue,gabriel peri,
RUE EMILE ROMANET,rue,emile romanet,
RTE DU MOULIN BRULE,route,du moulin brule,
AV  MARIE GASQUET,avenue,marie gasquet,
RUE SERAPHIN,rue,seraphin,
BD  DE LA REINE,boulevard,de la reine,
RUE SOUFFLOT,rue,soufflot,
RUE DU PARE,rue,du pare,
BD  NATIONAL,boulevard,national,
RUE DIDEROT,rue,diderot,
RUE GUILLOT ET DEHELLY,rue,guillot et dehelly,
AV  GAMBETTA,avenue,gambetta,
AV  DU DOCTEUR BOISSEL,avenue,du docteur boissel,
RUE DE L ARGONNE,rue,de l argonne,
RUE DES FRERES DUCLOS,rue,des freres duclos,
RUE DU PALATINAT,rue,du palatinat,
RUE DU MARCHE,rue,du marche,
AV  GEORGES CLEMENCEAU,avenue,georges clemenceau,
RUE DU COQ,rue,du coq,
RUE PIERRE WIEHN,rue,pierre wiehn,
RUE DE LA TUILERIE,rue,de la tuilerie,
RUE DE KERGUELEN,rue,de kerguelen,
AV  DES IBIS,avenue,des ibis,
RUE DU CHATEAU D EAU,rue,du chateau d eau,
CAMPAGNE LEVEQUE,campagne,leveque,
RUE LAMARTINE ST POL,rue,lamartine saint pol,
BREHELU,,brehelu,
RUE DU ROCHER,rue,du rocher,
RUE CURIE,rue,curie,
RUE VILLA BECHARD,rue,villa bechard,
RUE DU BRAS D'OR,rue,du bras d or,
RUE DES CORDELIERS,rue,des cordeliers,
AV  ANC COMBATTANTS AFRIQUE NO,avenue,anc combattants afrique no,
RTE DU CHENE,route,du chene,
RUE LASCROSSES,rue,lascrosses,
CITE DU BOIS D EPINOY,cite,du bois d epinoy,
RUE DES COURLIS,rue,des courlis,
RUE GODEFROY CAVAIGNAC,rue,godefroy cavaignac,
RUE ALBERT DEMAN,rue,albert deman,
RUE PAUL VAILLANT COUTURIER,rue,paul vaillant couturier,
RUE BOILEAU,rue,boileau,
AV  GENERAL DE GAULLE,avenue,general de gaulle,
BD  BONAVAL,boulevard,bonaval,
IMP DES VIGNES LA BOCCA,impasse,des vignes la bocca,
RUE DU LUXEMBOURG,rue,du luxembourg,
RUE PHILIPPE DE GIRARD,rue,philippe de girard,
RUE MUTILES DU TRAVAIL,rue,mutiles du travail,
RUE DU CHEMIN BAS,rue,du chemin bas,
RUE DE LILLE,rue,de lille,
AV  DES ANGLAIS,avenue,des anglais,
RUE DU SENTIER,rue,du sentier,
RUE DE LA LIBERTE,rue,de la liberte,
AV  DE LAMOTHE,avenue,de lamothe,
RUE AUGUSTIN MOUCHOT,rue,augustin mouchot,
RUE DE BEGLES,rue,de begles,
RUE DU FRANC MOUSSET,rue,du franc mousset,
RUE EMILE TABARANT,rue,emile tabarant,
AV  DU STADE,avenue,du stade,
IMP DES PEUPLIERS,impasse,des peupliers,
LES PLAINES,,les plaines,
AV  RAYMOND BARRE,avenue,raymond barre,
RUE MARTYRS DE RESISTANCE,rue,martyrs de resistance,
VIANE ROCHER,,viane rocher,
PL  DE LA LIBERATION,place,de la liberation,
IMP DIDEROT,impasse,diderot,
RUE DES MOULINS (CHAUSSAIRE),rue,des moulins chaussaire,
RUE BOURDON,rue,bourdon,
RUE DE LA BOURGEAT,rue,de la bourgeat,
RUE DANTON,rue,danton,
RTE DE BARFLEUR,route,de barfleur,
CHE DES ANC COMBATTANTS EN AFN,chemin,des anc combattants en afn,
RUE DU SINDELSBERG,rue,du sindelsberg,
AV  DE LA DIVISION LECLERC,avenue,de la division leclerc,
BD  MALESHERBES,boulevard,malesherbes,
EGRAVATS,,egravats,
IMP BOUGAINVILLE,impasse,bougainville,
CHE DE LA CROIX PIVORT,chemin,de la croix pivort,
RUE VICTOR JARA,rue,victor jara,
AV  LOUIS ARAGON,avenue,louis aragon,
RUE DU 11 NOVEMBRE,rue,du 11 novembre,
RTE DU GRABA,route,du graba,
RTE DU PLATEAU DES DANSES,route,du plateau des danses,
RUE PARTOUNEAUX,rue,partouneaux,
RUE DE LA FROMAGERIE,rue,de la fromagerie,
LA GLACIERE,,la glaciere,
RUE GERVAIS BUSSIERE,rue,gervais bussiere,
RUE DE LA FEYSSINE,rue,de la feyssine,
RUE PRINCIPALE,rue,principale,
RUE DE LA CAVALERIE,rue,de la cavalerie,
RUE JEAN DUEZ,rue,jean duez,
RUE DE LA GARE,rue,de la gare,
RUE DES GLYCERIDIAS,rue,des glyceridias,
IMP DES BETONNIERES,impasse,des betonnieres,
RUE ALBERT SCHWEITZER,rue,albert schweitzer,
RUE SEPTENTRION,rue,septentrion,
LES PETITS EYNARDS,,les petits eynards,
AV  PIERRE BROSSOLETTE,avenue,pierre brossolette,
RUE DU 1ER MAI,rue,du 1 er mai,
LES SERRES,,les serres,
RTE DEPARTEMENTALE 96,route departementale,96,
IMP FRANCHEMONT,impasse,franchemont,
RUE LANDRY GILLON,rue,landry gillon,
CHE SAINTE CECILE,chemin,sainte cecile,
RUE DES MESANGES,rue,des mesanges,
RUE KARL MARX,rue,karl marx,
RUE DES TULIPES,rue,des tulipes,
RUE PIERRE MOUILLARD,rue,pierre mouillard,
LES SAVOYARDS-OUEST,,les savoyards ouest,
RUE VALETTE,rue,valette,
BD  PAUL CHALVET,boulevard,paul chalvet,
CHE DES ECOLES (BOTZ-MAUGES),chemin,des ecoles botz mauges,
RUE DES CHARMES,rue,des charmes,
ALL ANTOINE DE BOURBON,allee,antoine de bourbon,
RTE DE GENNETEIL,route,de genneteil,
