nom_voie,id_type_voie,nom_voie_norm,complement_adresse
roland busseau rue,rue,roland busseau,
le suchet de loubeyrat  ,,le suchet de loubeyrat,
charles avenue,avenue,charles,
des pins square,square,des pins,
de la cressonniere route,route,de la cressonniere,
de la chapelle impasse,impasse,de la chapelle,
garrigue ouest  ,,garrigue ouest,
a rome hameau,hameau,a rome,
du cloitre cheminement,cheminement,du cloitre,
impasse des lilas,impasse,des lilas,
du breat rue,rue,du breat,
allee du champ de colle,allee,du champ de colle,
de la ruche impasse,impasse,de la ruche,
les touches  ,,les touches,
de pellevat rue,rue,de pellevat,
de pradecorps longefo cheminement,cheminement,de pradecorps longefo,
rue saint antoine,rue,saint antoine,
aigue noire  ,,aigue noire,
lescrann  ,,lescrann,
puy de liffaud  ,,puy de liffaud,
du bindo impasse,impasse,du bindo,
cuvier rue,rue,cuvier,
louis girard rue,rue,louis girard,
impasse de la planque,impasse,de la planque,
du hameau de la vaccine rue,rue,du hameau de la vaccine,
place du 19 mars 1962,place,du 19 mars 1962,
la naverie  ,,la naverie,
riviere  ,,riviere,
de seche varenne rue,rue,de seche varenne,
passage de la chourette,passage,de la chourette,
avenue draio de la mar,avenue,draio de la mar,
de la marche rue,rue,de la marche,
de la tour route,route,de la tour,
carrelot des tonneliers rue,rue,carrelot des tonneliers,
qur de laoul  ,,qur de laoul,
de la republique placa,placa,de la republique,
impasse saint roch,impasse,saint roch,
voltaire square,square,voltaire,
de la courbe impasse,impasse,de la courbe,
la graffardiere trelly  ,,la graffardiere trelly,
le puol  ,,le puol,
rue des romains,rue,des romains,
de bordebasse impasse,impasse,de bordebasse,
lolivet  ,,lolivet,
a crabet  ,,a crabet,
bouillaud allee,allee,bouillaud,
velasquez boulevard,boulevard,velasquez,
de ronde cheminement,cheminement,de ronde,
des champs rosiers rue,rue,des champs rosiers,
de l abbaye boulevard,boulevard,de l abbaye,
cortot rue,rue,cortot,
de fleury route,route,de fleury,
de la piliere villedieu rue,rue,de la piliere villedieu,
la closerie lotissement,lotissement,la closerie,
du capet moulin chemin,chemin,du capet moulin,
cardaillou  ,,cardaillou,
chemin de la plaine,chemin,de la plaine,
rue saint adrien,rue,saint adrien,
vau dupuits  ,,vau dupuits,
des peschures rue,rue,des peschures,
chemin de surhayolle,chemin,de surhayolle,
de la chapelle place,place,de la chapelle,
des acacias allee,allee,des acacias,
la bourriere  ,,la bourriere,
du languedoc avenue,avenue,du languedoc,
henri cabanel place,place,henri cabanel,
lestang  ,,lestang,
du chirat chemin,chemin,du chirat,
d etxarte chemin,chemin,d etxarte,
place du temple,place,du temple,
chemin communal 9 dit de labrousse,chemin communal,9 dit de labrousse,
