LIBELLE_CANONIQUE,VARIANTE
ABBAYE,ABBAYE
AERODROME,AERODROME
AEROGARE,AERG
AEROGARE,AEROGARE
AEROPORT,AEROPORT
AEROPORT,AERP
AGGLOMERATION,AGL
AGGLOMERATION,AGGLOMERATION
AIRE,AIRE
ALLEE,ALLEE
ALLEE,ALL
ANCIEN CHEMIN,ANCIEN CHEMIN
ANCIEN CHEMIN,ACH
ANCIEN CHEMIN,ANC CHEM
ANCIEN CHEMIN,ANC CHEMIN
ANCIEN CHEMIN,ANCIEN CHEM
ANCIENNE PLACE,ANCIENNE PLACE
ANCIENNE PLACE,ANC PL
ANCIENNE PLACE,APL
ANCIENNE ROUTE,ANC ROUTE
ANCIENNE ROUTE,ANCIENNE RTE
ANCIENNE ROUTE,ART
ANCIENNE ROUTE,ANCIENNE ROUTE
ANCIENNE ROUTE,ANC RTE
ANCIENNE ROUTE DEPARTEMENTALE,ANCIENNE ROUTE DEPARTEMENTALE
ANCIENNE ROUTE NATIONALE,ANCIENNE ROUTE NATIONALE
ANCIENNE RUE,AR
ANCIENNE RUE,ANCIENNE RUE
ANCIENNE VOIE,ANV
ANCIENNE VOIE,ANC VOIE
ANCIENNE VOIE,ANCIENNE VOIE
ANDRONE,ANDRONE
ANGLE,ANGL
ANGLE,ANGLE
ANSE,ANSE
ARCADE,ARCADE
AUTOROUTE,AUT
AUTOROUTE,AUTOROUTE
AVENUE,AV
AVENUE,AVE
AVENUE,AVENUE
BALCON,BALCON
BARRIERE,BARRIERE
BAS CHEMIN,BCH
BAS CHEMIN,BAS CHEMIN
BASE,BASE
BASSIN,BSN
BASSIN,BASSIN
BASTIDE,BSTD
BASTIDE,BASTIDE
BASTION,BASTION
BERGE,BERGE
BOIS,BOIS
BORD,BORD
BOUCLE,BCLE
BOUCLE,BOUCLE
BOULEVARD,BOULEVARD
BOULEVARD,BD
BOURG,BRG
BOURG,BOURG
BRECHE,BRECHE
BRECHE,BRC
BRETELLE,BRTL
BRETELLE,BRETELLE
BUTTE,BUTTE
CALADE,CALADE
CALE,CALE
CALLADA,CALLADA
CALLE,CALL
CALLE,CALLE
CAMI,CAMI
CAMIN,CAMIN
CAMP,CAMP
CAMPAGNE,CAMPAGNE
CAMPAGNE,CGNE
CAMPING,CAMPING
CAMPING,CPG
CANAL,CANAL
CARRE,CARRE
CARRE,CARR
CARREAU,CARREAU
CARREFOUR,CARREFOUR
CARREFOUR,CAR
CARRIERA,CARRIERA
CARRIERE,CARRIERE
CASERNE,CASR
CASERNE,CASERNE
CASTEL,CST
CASTEL,CASTEL
CEINTURE,CEIN
CEINTURE,CEINTURE
CENTRE,CTRE
CENTRE,CENTRE
CENTRE COMMERCIAL,CCAL
CENTRE COMMERCIAL,CCIAL
CENTRE COMMERCIAL,CENTRE COMMERCIAL
CHALET,CHL
CHALET,CHALET
CHAMP,CHAMP
CHAMP,CHP
CHAMPS,CHAMPS
CHAMPS,CHPS
CHAPELLE,CHAP
CHAPELLE,CHAPELLE
CHARMILLE,CHARMILLE
CHARRIERE,CHARRIERE
CHASSE,CHASSE
CHATEAU,CHT
CHATEAU,CHATEAU
CHAUSSEE,CHS
CHAUSSEE,CHAUSSEE
CHEMIN,CHE
CHEMIN,CHEMIN
CHEMIN COMMUNAL,CC
CHEMIN COMMUNAL,CHEMIN COMMUNAL
CHEMIN D EXPLOITATION,CHEMIN D EXPLOITATION
CHEMIN DEPARTEMENTAL,CHEMIN DEPARTEMENTAL
CHEMIN DEPARTEMENTAL,CD
CHEMIN FORESTIER,CF
CHEMIN FORESTIER,CHEMIN FORESTIER
